Alpiarca,4
Alpiarca,01
Benavente,5
Benavente,01
Samora Correia,02
Santo Estevao,03
Barrosa,04
Cartaxo,6
Pontevel,04
Valada,05
Vila Cha de Ourique,07
Vale da Pedra,08
Cartaxo e Vale da Pinta,09
Ereira e Lapa,10
Chamusca,7
Ulme,04
Vale de Cavalos,05
Carregueira,07
Chamusca e Pinheiro Grande,08
Parreira e Chouto,09
Constancia,8
Constancia,01
Montalvo,02
Santa Margarida da Coutada,03
Coruche,9
Couco,02
S. Jose da Lamarosa,03
Branca,05
Biscainho,07
Santana do Mato,08
Coruche, Fajarda e Erra,09
Entroncamento,10
Nossa Sra de Fatima,02
Sao Joao Baptista,03
Ferreira do Zezere,11
Aguas Belas,01
Beco,03
Chaos,04
Ferreira do Zezere,06
Igreja Nova do Sobral,07
Nossa Senhora do Pranto,10
Areias e Pias,11
Golega,12
Azinhaga,01
Golega,02
Pombalinho,03
Macao,13
Amendoa,02
Cardigos,03
Carvoeiro,04
Envendos,05
Ortiga,07
Macao, Penhascoso e Aboboreira,09
Rio Maior,14
Alcobertas,01
Arrouquelas,02
Fraguas,05
Rio Maior,08
Asseiceira,10
S. Sebastiao,11
Azambujeira e Malaqueijo,15
Marmeleira e Assentiz,16
Outeiro da Corticada e Arruda Dos Pisoes,17
Sao Joao da Ribeira e Ribeira de Sao Joao,18
Salvaterra de Magos,15
Marinhais,02
Muge,03
Gloria do Ribatejo e Granho,07
Salvaterra de Magos e Foros de Salvaterra,08
Santarem,16
Abitureiras,01
Abra,02
Alcanede,04
Alcanhoes,05
Almoster,06
Amiais de Baixo,07
Arneiro Das Milharicas,08
Mocarria,13
Pernes,14
Povoa da Isenta,16
Vale de Santarem,25
Gancaria,28
Achete, Azoia de Baixo e Povoa de Santarem,29
Azoia de Cima e Tremes,30
Casevel e Vaqueiros,31
Romeira e Varzea,32
Marvila, Ribeira Santarem, S.Salvador, S.Nicolau,33
Sao Vicente do Paul e Vale de Figueira,34
Sardoal,17
Alcaravela,01
Santiago de Montalegre,02
Sardoal,03
Valhascos,04
Tomar,18
Asseiceira,02
Carregueiros,04
Olalhas,08
Paialvo,09
S. Pedro de Tomar,13
Sabacheira,14
Alem da Ribeira e Pedreira,17
Casais e Alviobeira,18
Madalena e Beselga,19
Serra e Junceira,20
Sao Joao Baptista e Santa Maria Dos Olivais,21
Torres Novas,19
Assentiz,02
Chancelaria,04
Pedrogao,09
Riachos,10
Zibreira,16
Meia Via,17
Brogueira, Parceiros de Igreja e Alcorochel,18
Olaia e Paco,19
Torres Novas (Santa Maria, Salvador e Santiago),20
Torres Novas (Sao Pedro), Lapas e Ribeira Branca,21
Vila Nova da Barquinha,20
Atalaia,01
Praia do Ribatejo,02
Tancos,03
Vila Nova da Barquinha,06
Ourem,21
Alburitel,01
Atouguia,02
Caxarias,04
Espite,05
Fatima,06
Nossa Senhora Das Misericordias,11
Seica,13
Urqueira,14
Nossa Senhora da Piedade,15
Freixianda, Ribeira do Farrio e Formigais,19
Gondemaria e Olival,20
Matas e Cercal,21
Rio de Couros e Casal Dos Bernardos,22
PORTO,13
Amarante,1
Ansiaes,03
Candemil,07
Fregim,12
Fridao,15
Gondar,17
Jazente,18
Lomba,19
Louredo,20
Lufrei,21
Mancelos,23
Padronelo,26
Rebordelo,28
Salvador do Monte,29
Gouveia (S. Simao),34
Teloes,35
Travanca,36
Vila Caiz,38
Vila Chao do Marao,39
Aboadela, Sanche e Varzea,41
Amarante (Sao Goncalo), Madalena, Cepelos e Gatao,42
Bustelo, Carneiro e Carvalho de Rei,43
Figueiro (Santiago e Santa Cristina),44
Freixo de Cima e de Baixo,45
Olo e Canadelo,46
Real, Ataide e Oliveira,47
Vila Garcia, Aboim e Chapa,48
Baiao,2
Frende,04
Gestaco,05
Gove,06
Grilo,07
Loivos do Monte,08
Santa Marinha do Zezere,15
Valadares,19
Viariz,20
Ancede e Ribadouro,21
Baiao (Santa Leocadia) e Mesquinhata,22
Campelo e Ovil,23
Loivos da Ribeira e Tresouras,24
Santa Cruz do Douro e Sao Tome de Covelas,25
Teixeira e Teixeiro,26
Felgueiras,3
Aiao,01
Airaes,02
Friande,05
Idaes,06
Jugueiros,07
Penacova,13
Pinheiro,14
Pombeiro de Ribavizela,15
Refontoura,17
Regilde,18
Revinhade,19
Sendim,24
Macieira da Lixa e Caramos,34
Margaride, Varzea, Lagares, Varziela, Moure,35
Pedreira, Rande e Sernande,36
Torrados e Sousa,37
Unhao e Lordelo,38
Vila Cova da Lixa e Borba de Godim,39
Vila Fria e Vizela (Sao Jorge),40
Vila Verde e Santao,41
Gondomar,4
Lomba,05
Rio Tinto,08
Baguim do Monte (Rio Tinto),12
Fanzeres e Sao Pedro da Cova,13
Foz do Sousa e Covelo,14
Gondomar (Sao Cosme), Valbom e Jovim,15
Melres e Medas,16
Lousada,5
Aveleda,02
Caide de Rei,04
Lodares,10
Macieira,12
Meinedo,13
Nevogilde,15
Sousela,24
Torno,25
Vilar do Torno e Alentem,26
Cernadelo e Lousada (Sao Miguel e Santa Margarida),27
Cristelos, Boim e Ordem,28
Figueiras e Covas,29
Lustosa e Barrosas (Santo Estevao),30
Nespereira e Casais,31
Silvares, Pias, Nogueira e Alvarenga,32
Maia,6
Aguas Santas,01
Folgosa,03
Milheiros,08
Moreira,09
S. Pedro Fins,13
Vila Nova da Telha,16
Pedroucos,17
Castelo da Maia,18
Cidade da Maia,19
Nogueira e Silva Escura,20
Marco de Canaveses,7
Banho e Carvalhosa,04
Constance,05
Soalhaes,22
Sobretamega,23
Tabuado,24
Vila Boa do Bispo,30
Alpendorada, Varzea e Torrao,32
Avessadas e Rosem,33
Bem Viver,34
Livracao,35
Marco,36
Paredes de Viadores e Manhuncelos,37
Penhalonga e Pacos de Gaiolo,38
Sande e Sao Lourenco,39
Varzea, Aliviada e Folhada,40
Vila Boa de Quires e Maureles,41
Matosinhos,8
Custoias, Leca do Balio e Guifoes,11
Matosinhos e Leca da Palmeira,12
Perafita, Lavra e Santa Cruz do Bispo,13
Sao Mamede de Infesta e Senhora da Hora,14
Pacos de Ferreira,9
Carvalhosa,02
Eiriz,04
Ferreira,05
Figueiro,06
Freamunde,08
Meixomil,10
Penamaior,13
Raimonda,14
Seroa,16
Frazao Arreigada,17
